                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4592,                 3.5886,                 2.9283,                   1.55,                0.30269,                 0.3436,                0.24075,                0.14023,                0.27945,                0.28022,                0.20719,                0.11214,                 1.5285,                 3.5745,                 3.4167,                 1.6108,             0.00030121,             0.00030121,             0.00030121
                      2,                 1.4399,                 3.0644,                 2.2285,                 1.5187,                0.52507,                0.27402,                0.25856,                0.14636,                 0.3381,                0.25286,                0.21373,                0.10938,                 1.5426,                  3.413,                 3.0765,                 1.6195,              0.0005743,              0.0005743,              0.0005743
                      3,                 1.4026,                 2.9862,                 2.0557,                 1.4972,                0.31508,                0.37435,                0.30345,                0.17508,                0.27542,                0.32255,                0.26838,                0.14068,                 1.5829,                 3.1273,                 2.7467,                 1.6187,             0.00081739,             0.00081739,             0.00081739
                      4,                 1.3906,                 2.8965,                 1.9267,                 1.4734,                0.34437,                0.40038,                0.32057,                0.18479,                0.29003,                0.32762,                0.25723,                0.12987,                 1.4731,                 2.8688,                 2.4849,                 1.5622,             0.00077401,             0.00077401,             0.00077401
                      5,                 1.3356,                 2.8438,                 1.8554,                 1.4415,                0.32695,                0.44382,                 0.3426,                0.20444,                0.29808,                0.37617,                0.29806,                0.16633,                 1.4544,                 2.8487,                 2.5587,                 1.5347,             0.00072902,             0.00072902,             0.00072902
                      6,                 1.3182,                 2.7848,                 1.7388,                 1.4386,                0.41373,                0.43339,                0.37781,                0.23205,                0.37905,                0.35617,                 0.3216,                0.17692,                 1.4214,                 2.8408,                 2.2922,                 1.5181,             0.00068402,             0.00068402,             0.00068402
                      7,                 1.3046,                 2.7083,                  1.645,                 1.4187,                0.45223,                0.43479,                0.40963,                0.25753,                0.41122,                0.39393,                0.35667,                0.20077,                 1.3685,                  2.603,                  2.256,                 1.4526,             0.00063903,             0.00063903,             0.00063903
                      8,                 1.2655,                 2.6407,                 1.5724,                 1.3896,                0.40043,                0.51517,                0.44237,                0.28324,                 0.3884,                0.40427,                0.37023,                 0.2098,                 1.3049,                 2.5057,                 1.9753,                 1.4135,             0.00059403,             0.00059403,             0.00059403
                      9,                 1.2491,                  2.585,                 1.5409,                 1.3771,                0.39832,                0.46715,                0.40935,                0.25893,                0.45037,                0.36347,                0.34381,                0.18937,                 1.3505,                 2.5296,                 2.2738,                 1.4441,             0.00054904,             0.00054904,             0.00054904
                     10,                 1.2291,                 2.5354,                 1.4755,                 1.3717,                 0.4608,                0.49314,                0.45893,                0.29064,                0.45326,                0.42489,                0.39691,                 0.2333,                 1.3238,                  2.455,                 2.1354,                 1.4159,             0.00050404,             0.00050404,             0.00050404
                     11,                 1.2854,                 2.5203,                 1.6035,                  1.463,                0.54656,                0.47088,                0.50572,                0.33162,                0.48969,                0.42605,                0.42601,                0.25184,                 1.2902,                 2.3087,                 1.8877,                 1.3892,             0.00045904,             0.00045904,             0.00045904
                     12,                 1.2577,                 2.4724,                 1.5214,                 1.4511,                 0.5102,                0.52579,                0.51148,                0.33539,                0.47481,                0.46629,                0.44098,                0.24809,                 1.2671,                 2.3927,                  1.866,                 1.3819,             0.00041405,             0.00041405,             0.00041405
                     13,                 1.2333,                 2.4166,                 1.4555,                 1.4383,                 0.5759,                 0.4748,                 0.5193,                0.34595,                0.52467,                0.43764,                0.44859,                0.27068,                  1.242,                 2.2858,                 1.8027,                 1.3498,             0.00036905,             0.00036905,             0.00036905
                     14,                 1.2191,                 2.3687,                 1.4156,                 1.4147,                0.56169,                 0.5338,                0.53641,                0.35548,                0.49643,                0.49164,                0.46511,                0.27754,                 1.2278,                 2.3042,                 1.8003,                 1.3509,             0.00032406,             0.00032406,             0.00032406
                     15,                 1.1956,                 2.2889,                 1.3585,                 1.4016,                0.54563,                0.54516,                 0.5444,                0.36667,                 0.5258,                0.47442,                0.46719,                0.28468,                 1.1909,                 2.2932,                 1.7406,                 1.3106,             0.00027906,             0.00027906,             0.00027906
                     16,                   1.17,                 2.2541,                 1.3105,                 1.3844,                0.53949,                0.54285,                0.54478,                0.36483,                0.49415,                 0.5051,                0.47685,                0.28259,                 1.2092,                 2.2302,                 1.7032,                  1.318,             0.00023407,             0.00023407,             0.00023407
                     17,                  1.145,                 2.2066,                 1.2579,                 1.3686,                0.56195,                0.54515,                0.55028,                0.37341,                0.52125,                0.51468,                0.49011,                0.29454,                 1.1736,                 2.2584,                 1.7177,                 1.2892,             0.00018907,             0.00018907,             0.00018907
                     18,                 1.1219,                 2.1936,                 1.2246,                 1.3475,                0.59566,                0.54798,                0.56189,                0.38719,                0.57914,                0.51623,                0.51087,                0.30332,                 1.1588,                 2.2025,                  1.688,                 1.2783,             0.00014408,             0.00014408,             0.00014408
                     19,                 1.1052,                 2.1439,                 1.1925,                 1.3355,                0.61087,                0.56426,                0.57459,                0.39739,                0.56273,                0.52221,                0.51113,                0.31272,                 1.1355,                 2.1932,                 1.6291,                 1.2704,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     20,                 1.0947,                 2.1492,                 1.1644,                 1.3291,                 0.6577,                0.53449,                0.58552,                0.40975,                0.62815,                0.49688,                0.52304,                0.32289,                 1.1211,                 2.1972,                 1.6224,                 1.2561,             5.4086e-05,             5.4086e-05,             5.4086e-05
