                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.694,                 3.2942,                  1.722,                 1.6283,                0.51797,                0.48301,                0.45892,                0.23186,                0.49358,                0.44458,                0.39684,                0.15473,                 1.6949,                 3.5717,                 2.1713,                 1.7143,             0.00065909,             0.00065909,             0.00065909
                      2,                 1.5274,                 2.8478,                 1.4398,                 1.5067,                0.60367,                0.53862,                0.54767,                0.28423,                0.58218,                0.49383,                 0.4904,                0.20588,                  1.603,                 3.6127,                 1.5027,                 1.6699,               0.001282,               0.001282,               0.001282
                      3,                  1.498,                 2.8104,                 1.3676,                 1.4846,                0.56644,                0.52232,                0.52584,                0.26748,                0.51125,                0.46401,                0.43529,                0.16088,                 1.6386,                 3.6828,                 1.4612,                 1.6741,              0.0018609,              0.0018609,              0.0018609
                      4,                  1.473,                 2.7704,                 1.3505,                 1.4661,                0.59161,                0.54803,                0.56208,                0.30009,                0.54068,                0.51352,                 0.4862,                0.20401,                 1.5448,                  3.549,                 1.5182,                 1.5862,               0.001802,               0.001802,               0.001802
                      5,                 1.4484,                 2.6723,                 1.3075,                 1.4465,                0.58272,                0.54799,                0.55626,                0.30628,                 0.5878,                0.52399,                0.53492,                0.25278,                  1.492,                 3.0438,                 1.4268,                  1.531,               0.001736,               0.001736,               0.001736
                      6,                 1.4244,                 2.6336,                 1.2804,                 1.4389,                0.62143,                0.51541,                0.56603,                0.31573,                0.60584,                  0.492,                 0.5299,                0.25169,                 1.4496,                 2.8511,                 1.3869,                 1.5405,                0.00167,                0.00167,                0.00167
                      7,                 1.3931,                 2.5787,                 1.2592,                 1.4134,                0.60151,                0.54719,                0.57156,                0.31209,                0.60265,                0.52925,                 0.5484,                0.26015,                 1.5106,                 2.9426,                 1.3747,                 1.5409,               0.001604,               0.001604,               0.001604
                      8,                 1.3857,                 2.5608,                  1.234,                 1.4121,                0.56349,                0.56359,                0.54429,                0.29968,                0.56693,                0.55884,                0.53776,                0.26184,                 1.4672,                 2.8556,                 1.4013,                 1.5187,               0.001538,               0.001538,               0.001538
                      9,                 1.3714,                 2.5305,                 1.2185,                 1.4021,                0.51306,                0.54776,                0.49546,                 0.2693,                0.51295,                 0.5417,                0.48681,                0.23498,                 1.4476,                 2.7935,                  1.522,                 1.4911,               0.001472,               0.001472,               0.001472
                     10,                 1.3596,                 2.5025,                 1.1992,                   1.39,                0.65645,                0.58867,                0.63273,                0.37248,                0.65307,                0.58267,                0.61739,                0.32407,                 1.3943,                 2.6134,                 1.1831,                 1.4673,               0.001406,               0.001406,               0.001406
                     11,                 1.3489,                 2.4841,                 1.1964,                 1.3752,                0.64843,                0.57724,                0.61823,                0.36303,                0.64381,                0.57313,                0.60712,                0.32514,                 1.3563,                 2.5804,                 1.2241,                 1.4387,                0.00134,                0.00134,                0.00134
                     12,                 1.3222,                 2.4298,                 1.1829,                 1.3703,                0.63614,                0.58558,                0.61747,                0.35799,                0.64447,                0.57107,                0.60559,                0.31057,                  1.393,                   2.65,                 1.2376,                 1.4547,               0.001274,               0.001274,               0.001274
                     13,                 1.3272,                 2.4306,                 1.1713,                 1.3689,                0.66985,                0.59735,                0.64113,                0.37225,                0.66711,                0.58181,                0.62348,                0.32441,                 1.3804,                 2.5825,                 1.1618,                 1.4646,               0.001208,               0.001208,               0.001208
                     14,                 1.3181,                 2.4143,                 1.1459,                 1.3613,                0.65462,                0.60595,                  0.637,                0.37009,                 0.6533,                0.59273,                0.62314,                0.32715,                 1.3652,                  2.533,                 1.2065,                  1.437,               0.001142,               0.001142,               0.001142
                     15,                 1.3114,                 2.4098,                 1.1421,                 1.3571,                0.67108,                0.60615,                0.65005,                0.39012,                0.67235,                0.59232,                0.63404,                0.33602,                  1.324,                 2.5025,                 1.1515,                  1.404,               0.001076,               0.001076,               0.001076
                     16,                 1.2966,                  2.376,                 1.1245,                 1.3436,                0.67857,                0.61484,                0.65962,                0.39686,                 0.6754,                0.60318,                0.64211,                 0.3457,                 1.3219,                 2.4733,                 1.1076,                 1.4251,                0.00101,                0.00101,                0.00101
                     17,                  1.284,                 2.3517,                 1.1113,                 1.3412,                0.67813,                0.61335,                0.66008,                0.40114,                0.67255,                0.60266,                0.64359,                0.35206,                 1.3143,                 2.4306,                 1.1022,                 1.4226,               0.000944,               0.000944,               0.000944
